"site","file","date_chile","hour_chile","boat_tonality","n_harmonic_peaks","peak_freq"
"Matanzas 32","20251114_011800.WAV","2025-11-13",22,30.006,3,156.6
"Matanzas 32","20251114_012800.WAV","2025-11-13",22,49.402,3,172.2
"Matanzas 32","20251114_013200.WAV","2025-11-13",22,41.326,3,172.2
"Matanzas 32","20251114_013400.WAV","2025-11-13",22,36.251,3,172.2
"Matanzas 32","20251114_013600.WAV","2025-11-13",22,51.444,3,156.6
"Matanzas 32","20251114_023200.WAV","2025-11-13",23,38.583,3,172.2
"Matanzas 32","20251114_024600.WAV","2025-11-13",23,37.542,3,172.2
"Matanzas 32","20251115_025000.WAV","2025-11-14",23,38.184,3,187.9
"Matanzas 32","20251115_030000.WAV","2025-11-15",0,48.887,3,187.9
"Matanzas 32","20251115_030200.WAV","2025-11-15",0,44.133,3,187.9
"Matanzas 32","20251115_030400.WAV","2025-11-15",0,31.738,3,187.9
"Matanzas 32","20251115_031400.WAV","2025-11-15",0,103.585,3,187.9
"Matanzas 32","20251115_031600.WAV","2025-11-15",0,33.835,3,172.2
"Matanzas 32","20251115_032000.WAV","2025-11-15",0,41.898,3,187.9
"Matanzas 32","20251115_032600.WAV","2025-11-15",0,76.351,3,187.9
"Matanzas 32","20251115_033000.WAV","2025-11-15",0,35.46,3,203.5
"Matanzas 32","20251115_033600.WAV","2025-11-15",0,46.435,3,187.9
"Matanzas 32","20251115_041600.WAV","2025-11-15",1,32.83,3,187.9
"Matanzas 32","20251115_041800.WAV","2025-11-15",1,45.87,3,187.9
"Matanzas 32","20251115_042200.WAV","2025-11-15",1,34.531,3,187.9
"Matanzas 32","20251116_012800.WAV","2025-11-15",22,33.546,3,187.9
"Matanzas 32","20251116_013000.WAV","2025-11-15",22,81.734,3,187.9
"Matanzas 32","20251116_014000.WAV","2025-11-15",22,42.852,3,187.9
"Matanzas 32","20251116_014400.WAV","2025-11-15",22,36.116,3,187.9
"Matanzas 32","20251116_015200.WAV","2025-11-15",22,50.96,3,187.9
"Matanzas 32","20251116_015800.WAV","2025-11-15",22,98.859,3,187.9
"Matanzas 32","20251116_020200.WAV","2025-11-15",23,41.286,3,187.9
"Matanzas 32","20251116_021000.WAV","2025-11-15",23,39.53,3,187.9
"Matanzas 32","20251116_024600.WAV","2025-11-15",23,33.35,3,187.9
"Matanzas 32","20251116_061000.WAV","2025-11-16",3,35.192,3,172.2
"Matanzas 32","20251117_013400.WAV","2025-11-16",22,32.287,3,140.9
"Matanzas 32","20251119_015200.WAV","2025-11-18",22,37.91,3,187.9
"Matanzas 32","20251119_024200.WAV","2025-11-18",23,45.338,3,203.5
"Matanzas 32","20251121_080000.WAV","2025-11-21",5,34.095,3,250.5
"Matanzas 32","20251122_010800.WAV","2025-11-21",22,52.783,3,172.2
"Matanzas 32","20251122_015600.WAV","2025-11-21",22,66.798,3,187.9
"Matanzas 32","20251122_020000.WAV","2025-11-21",23,56.977,3,187.9
"Matanzas 32","20251122_021600.WAV","2025-11-21",23,35.559,3,187.9
"Matanzas 32","20251122_021800.WAV","2025-11-21",23,66.193,3,187.9
"Matanzas 32","20251122_060600.WAV","2025-11-22",3,31.93,3,187.9
"Matanzas 32","20251122_063200.WAV","2025-11-22",3,60.904,3,187.9
"Matanzas 32","20251122_064000.WAV","2025-11-22",3,63.818,3,187.9
"Matanzas 32","20251122_065200.WAV","2025-11-22",3,64.162,3,187.9
"Matanzas 32","20251122_073400.WAV","2025-11-22",4,38.559,3,187.9
"Matanzas 32","20251122_075000.WAV","2025-11-22",4,111.979,3,187.9
"Matanzas 32","20251122_080400.WAV","2025-11-22",5,42.534,3,187.9
"Matanzas 32","20251122_080600.WAV","2025-11-22",5,109.532,3,187.9
"Matanzas 32","20251126_033000.WAV","2025-11-26",0,31.639,3,140.9
"Matanzas 32","20251126_050800.WAV","2025-11-26",2,36.214,3,140.9
"Matanzas 32","20251127_071200.WAV","2025-11-27",4,35.693,3,375.7
"Matanzas 32","20251130_053400.WAV","2025-11-30",2,41.983,3,140.9
"Matanzas 32","20251204_071800.WAV","2025-12-04",4,38.902,3,140.9
"Matanzas 32","20251208_014200.WAV","2025-12-07",22,45.009,3,187.9
