"site","date_chile","time_chile","time_utc","duration_min","n_files","max_tonality","peak_freq_hz"
"Matanzas 32",2025-11-13,"22:18","01:18",1,1,30,157
"Matanzas 32",2025-11-13,"22:28","01:28",1,1,49,172
"Matanzas 32",2025-11-13,"22:32","01:32",5,3,51,157
"Matanzas 32",2025-11-13,"23:32","02:32",1,1,39,172
"Matanzas 32",2025-11-13,"23:46","02:46",1,1,38,172
"Matanzas 32",2025-11-14,"23:50","02:50",1,1,38,188
"Matanzas 32",2025-11-15,"00:00","03:00",5,3,49,188
"Matanzas 32",2025-11-15,"00:14","03:14",3,2,104,188
"Matanzas 32",2025-11-15,"00:20","03:20",1,1,42,188
"Matanzas 32",2025-11-15,"00:26","03:26",1,1,76,188
"Matanzas 32",2025-11-15,"00:30","03:30",1,1,35,204
"Matanzas 32",2025-11-15,"00:36","03:36",1,1,46,188
"Matanzas 32",2025-11-15,"01:16","04:16",3,2,46,188
"Matanzas 32",2025-11-15,"01:22","04:22",1,1,35,188
"Matanzas 32",2025-11-15,"22:28","01:28",3,2,82,188
"Matanzas 32",2025-11-15,"22:40","01:40",1,1,43,188
"Matanzas 32",2025-11-15,"22:44","01:44",1,1,36,188
"Matanzas 32",2025-11-15,"22:52","01:52",1,1,51,188
"Matanzas 32",2025-11-15,"22:58","01:58",1,1,99,188
"Matanzas 32",2025-11-15,"23:02","02:02",1,1,41,188
"Matanzas 32",2025-11-15,"23:10","02:10",1,1,40,188
"Matanzas 32",2025-11-15,"23:46","02:46",1,1,33,188
"Matanzas 32",2025-11-16,"03:10","06:10",1,1,35,172
"Matanzas 32",2025-11-16,"22:34","01:34",1,1,32,141
"Matanzas 32",2025-11-18,"22:52","01:52",1,1,38,188
"Matanzas 32",2025-11-18,"23:42","02:42",1,1,45,204
"Matanzas 32",2025-11-21,"05:00","08:00",1,1,34,250
"Matanzas 32",2025-11-21,"22:08","01:08",1,1,53,172
"Matanzas 32",2025-11-21,"22:56","01:56",1,1,67,188
"Matanzas 32",2025-11-21,"23:00","02:00",1,1,57,188
"Matanzas 32",2025-11-21,"23:16","02:16",3,2,66,188
"Matanzas 32",2025-11-22,"03:06","06:06",1,1,32,188
"Matanzas 32",2025-11-22,"03:32","06:32",1,1,61,188
"Matanzas 32",2025-11-22,"03:40","06:40",1,1,64,188
"Matanzas 32",2025-11-22,"03:52","06:52",1,1,64,188
"Matanzas 32",2025-11-22,"04:34","07:34",1,1,39,188
"Matanzas 32",2025-11-22,"04:50","07:50",1,1,112,188
"Matanzas 32",2025-11-22,"05:04","08:04",3,2,110,188
"Matanzas 32",2025-11-26,"00:30","03:30",1,1,32,141
"Matanzas 32",2025-11-26,"02:08","05:08",1,1,36,141
"Matanzas 32",2025-11-27,"04:12","07:12",1,1,36,376
"Matanzas 32",2025-11-30,"02:34","05:34",1,1,42,141
"Matanzas 32",2025-12-04,"04:18","07:18",1,1,39,141
"Matanzas 32",2025-12-07,"22:42","01:42",1,1,45,188
