idx,project,filename,window_start,window_end,label,logits
1,BombRun,20260408_115745.WAV,0.0,5.0,A_Bomba1,0.5924792
2,BombRun,20260408_053710.WAV,0.0,5.0,A_Bomba1,0.64939165
3,BombRun,20260408_091445.WAV,0.0,5.0,A_Bomba1,0.59813654
4,BombRun,20260408_085430.WAV,0.0,5.0,A_Bomba1,0.7802827
5,BombRun,20260408_090015.WAV,0.0,5.0,A_Bomba1,0.7695059
6,BombRun,20260408_114315.WAV,0.0,5.0,A_Bomba1,0.69952965
7,BombRun,20260408_054725.WAV,0.0,5.0,A_Bomba1,0.59542483
8,BombRun,20260407_172740.WAV,0.0,5.0,A_Bomba1,0.53412
9,BombRun,20260407_013355.WAV,0.0,5.0,A_Bomba1,0.49934503
10,BombRun,20260408_121345.WAV,0.0,5.0,A_Bomba1,0.5688068
11,BombRun,20260408_084935.WAV,0.0,5.0,A_Bomba1,0.7168568
12,BombRun,20260408_123220.WAV,0.0,5.0,A_Bomba1,0.75648594
13,BombRun,20260407_140725.WAV,0.0,5.0,A_Bomba1,0.58101594
14,BombRun,20260408_060325.WAV,0.0,5.0,A_Bomba1,0.5773315
15,BombRun,20260408_124215.WAV,0.0,5.0,A_Bomba1,0.5301814
16,BombRun,20260408_083900.WAV,0.0,5.0,A_Bomba1,0.735156
17,BombRun,20260407_012705.WAV,0.0,5.0,A_Bomba1,0.31054795
18,BombRun,20260408_120715.WAV,0.0,5.0,A_Bomba1,0.60685414
19,BombRun,20260407_171705.WAV,0.0,5.0,A_Bomba1,0.67043906
20,BombRun,20260408_085140.WAV,0.0,5.0,A_Bomba1,0.684751
21,BombRun,20260408_091135.WAV,0.0,5.0,A_Bomba1,0.7656682
22,BombRun,20260408_055605.WAV,0.0,5.0,A_Bomba1,0.6014113
23,BombRun,20260407_135635.WAV,0.0,5.0,A_Bomba1,0.67912334
24,BombRun,20260408_083525.WAV,0.0,5.0,A_Bomba1,0.6707498
25,BombRun,20260408_115235.WAV,0.0,5.0,A_Bomba1,0.62439436
26,BombRun,20260407_172230.WAV,0.0,5.0,A_Bomba1,0.68818974
27,BombRun,20260408_054255.WAV,0.0,5.0,A_Bomba1,0.6869718
28,BombRun,20260408_052630.WAV,0.0,5.0,A_Bomba1,0.7773464
29,BombRun,20260408_084510.WAV,0.0,5.0,A_Bomba1,0.7674901
30,BombRun,20260408_123750.WAV,0.0,5.0,A_Bomba1,0.5330119
31,BombRun,20260407_011740.WAV,0.0,5.0,A_Bomba1,0.40018678
32,BombRun,20260407_141605.WAV,0.0,5.0,A_Bomba1,0.58513474
33,BombRun,20260407_013625.WAV,0.0,5.0,A_Bomba1,0.510498
34,BombRun,20260408_061205.WAV,0.0,5.0,A_Bomba1,0.5234504
35,BombRun,20260408_060655.WAV,0.0,5.0,A_Bomba1,0.52362347
36,BombRun,20260407_140255.WAV,0.0,5.0,A_Bomba1,0.51755786
37,BombRun,20260408_122300.WAV,0.0,5.0,A_Bomba1,0.5188077
38,BombRun,20260408_085815.WAV,0.0,5.0,A_Bomba1,0.83027625
39,BombRun,20260408_115355.WAV,0.0,5.0,A_Bomba1,0.57566047
40,BombRun,20260408_083445.WAV,0.0,5.0,A_Bomba1,0.5118251
41,BombRun,20260407_135755.WAV,0.0,5.0,A_Bomba1,0.5611004
42,BombRun,20260408_091055.WAV,0.0,5.0,A_Bomba1,0.7561026
43,BombRun,20260408_053300.WAV,0.0,5.0,A_Bomba1,0.59978956
44,BombRun,20260408_085020.WAV,0.0,5.0,A_Bomba1,0.5620038
45,BombRun,20260408_052750.WAV,0.0,5.0,A_Bomba1,0.6317527
46,BombRun,20260408_114705.WAV,0.0,5.0,A_Bomba1,0.70382816
47,BombRun,20260408_054335.WAV,0.0,5.0,A_Bomba1,0.61942893
48,BombRun,20260407_172350.WAV,0.0,5.0,A_Bomba1,0.58122677
49,BombRun,20260408_121755.WAV,0.0,5.0,A_Bomba1,0.7003652
50,BombRun,20260408_123630.WAV,0.0,5.0,A_Bomba1,0.81005985
51,BombRun,20260407_140335.WAV,0.0,5.0,A_Bomba1,0.6251656
52,BombRun,20260408_124605.WAV,0.0,5.0,A_Bomba1,0.73529446
53,BombRun,20260408_060735.WAV,0.0,5.0,A_Bomba1,0.6286809
54,BombRun,20260407_142250.WAV,0.0,5.0,A_Bomba1,0.734168
55,BombRun,20260408_120305.WAV,0.0,5.0,A_Bomba1,0.6624251
56,BombRun,20260407_012315.WAV,0.0,5.0,A_Bomba1,0.44798756
57,BombRun,20260407_171315.WAV,0.0,5.0,A_Bomba1,0.55210435
58,BombRun,20260408_085550.WAV,0.0,5.0,A_Bomba1,0.62164026
59,BombRun,20260408_091525.WAV,0.0,5.0,A_Bomba1,0.6373072
60,BombRun,20260408_055215.WAV,0.0,5.0,A_Bomba1,0.49960873
61,BombRun,20260408_115625.WAV,0.0,5.0,A_Bomba1,0.58937085
62,BombRun,20260407_172620.WAV,0.0,5.0,A_Bomba1,0.58266443
63,BombRun,20260408_054645.WAV,0.0,5.0,A_Bomba1,0.7201883
64,BombRun,20260408_084100.WAV,0.0,5.0,A_Bomba1,0.7199288
65,BombRun,20260408_123340.WAV,0.0,5.0,A_Bomba1,0.6157283
66,BombRun,20260407_141215.WAV,0.0,5.0,A_Bomba1,0.67020077
67,BombRun,20260408_090820.WAV,0.0,5.0,A_Bomba1,0.61527306
68,BombRun,20260408_084855.WAV,0.0,5.0,A_Bomba1,0.6961606
69,BombRun,20260408_121225.WAV,0.0,5.0,A_Bomba1,0.6673593
70,BombRun,20260407_013235.WAV,0.0,5.0,A_Bomba1,0.55782336
71,BombRun,20260408_061615.WAV,0.0,5.0,A_Bomba1,0.4687605
72,BombRun,20260408_060245.WAV,0.0,5.0,A_Bomba1,0.49120432
73,BombRun,20260407_140645.WAV,0.0,5.0,A_Bomba1,0.5158683
74,BombRun,20260408_122710.WAV,0.0,5.0,A_Bomba1,0.33363882
75,BombRun,20260408_060250.WAV,0.0,5.0,A_Bomba1,0.57302576
76,BombRun,20260407_140650.WAV,0.0,5.0,A_Bomba1,0.6458333
77,BombRun,20260408_122705.WAV,0.0,5.0,A_Bomba1,0.63193583
78,BombRun,20260408_090835.WAV,0.0,5.0,A_Bomba1,0.6517936
79,BombRun,20260408_084840.WAV,0.0,5.0,A_Bomba1,0.52480894
80,BombRun,20260408_123355.WAV,0.0,5.0,A_Bomba1,0.59144425
81,BombRun,20260407_141200.WAV,0.0,5.0,A_Bomba1,0.5086149
82,BombRun,20260408_061600.WAV,0.0,5.0,A_Bomba1,0.71446526
83,BombRun,20260407_013220.WAV,0.0,5.0,A_Bomba1,0.43637884
84,BombRun,20260408_121230.WAV,0.0,5.0,A_Bomba1,0.6291298
85,BombRun,20260407_172635.WAV,0.0,5.0,A_Bomba1,0.6396199
86,BombRun,20260408_054650.WAV,0.0,5.0,A_Bomba1,0.54025143
87,BombRun,20260408_084115.WAV,0.0,5.0,A_Bomba1,0.7799361
88,BombRun,20260408_085545.WAV,0.0,5.0,A_Bomba1,0.6142095
89,BombRun,20260408_091530.WAV,0.0,5.0,A_Bomba1,0.7392891
90,BombRun,20260408_115630.WAV,0.0,5.0,A_Bomba1,0.7000231
91,BombRun,20260408_055200.WAV,0.0,5.0,A_Bomba1,0.5137085
92,BombRun,20260407_140320.WAV,0.0,5.0,A_Bomba1,0.5574184
93,BombRun,20260407_142245.WAV,0.0,5.0,A_Bomba1,0.81258124
94,BombRun,20260407_012300.WAV,0.0,5.0,A_Bomba1,0.32744715
95,BombRun,20260408_120310.WAV,0.0,5.0,A_Bomba1,0.61539227
96,BombRun,20260408_060720.WAV,0.0,5.0,A_Bomba1,0.57830757
97,BombRun,20260408_124610.WAV,0.0,5.0,A_Bomba1,0.70587456
98,BombRun,20260408_121740.WAV,0.0,5.0,A_Bomba1,0.75106245
99,BombRun,20260408_123625.WAV,0.0,5.0,A_Bomba1,0.7884719
100,BombRun,20260408_052745.WAV,0.0,5.0,A_Bomba1,0.4448714
101,BombRun,20260408_054320.WAV,0.0,5.0,A_Bomba1,0.5728673
102,BombRun,20260407_172345.WAV,0.0,5.0,A_Bomba1,0.61844707
103,BombRun,20260408_114710.WAV,0.0,5.0,A_Bomba1,0.69685066
104,BombRun,20260407_135740.WAV,0.0,5.0,A_Bomba1,0.37837148
105,BombRun,20260408_083450.WAV,0.0,5.0,A_Bomba1,0.7767622
106,BombRun,20260408_115340.WAV,0.0,5.0,A_Bomba1,0.51672375
107,BombRun,20260408_053315.WAV,0.0,5.0,A_Bomba1,0.4629117
108,BombRun,20260408_091040.WAV,0.0,5.0,A_Bomba1,0.7087993
109,BombRun,20260408_085035.WAV,0.0,5.0,A_Bomba1,0.51916546
110,BombRun,20260408_085800.WAV,0.0,5.0,A_Bomba1,0.74732196
111,BombRun,20260407_140240.WAV,0.0,5.0,A_Bomba1,0.58537215
112,BombRun,20260408_122315.WAV,0.0,5.0,A_Bomba1,0.6874196
113,BombRun,20260407_011755.WAV,0.0,5.0,A_Bomba1,0.3589037
114,BombRun,20260408_123745.WAV,0.0,5.0,A_Bomba1,0.6938762
115,BombRun,20260407_141610.WAV,0.0,5.0,A_Bomba1,0.4866488
116,BombRun,20260408_061210.WAV,0.0,5.0,A_Bomba1,0.71350837
117,BombRun,20260407_013630.WAV,0.0,5.0,A_Bomba1,0.50915706
118,BombRun,20260407_172225.WAV,0.0,5.0,A_Bomba1,0.6916787
119,BombRun,20260408_054240.WAV,0.0,5.0,A_Bomba1,0.80401033
120,BombRun,20260408_052625.WAV,0.0,5.0,A_Bomba1,0.5520281
121,BombRun,20260408_084505.WAV,0.0,5.0,A_Bomba1,0.6870521
122,BombRun,20260408_085155.WAV,0.0,5.0,A_Bomba1,0.7496081
123,BombRun,20260408_091120.WAV,0.0,5.0,A_Bomba1,0.7138491
124,BombRun,20260408_115220.WAV,0.0,5.0,A_Bomba1,0.6130624
125,BombRun,20260408_055610.WAV,0.0,5.0,A_Bomba1,0.47670364
126,BombRun,20260408_083530.WAV,0.0,5.0,A_Bomba1,0.92332935
127,BombRun,20260407_135620.WAV,0.0,5.0,A_Bomba1,0.5770936
128,BombRun,20260407_140730.WAV,0.0,5.0,A_Bomba1,0.7067911
129,BombRun,20260408_120700.WAV,0.0,5.0,A_Bomba1,0.6777698
130,BombRun,20260407_012710.WAV,0.0,5.0,A_Bomba1,0.5010293
131,BombRun,20260408_124200.WAV,0.0,5.0,A_Bomba1,0.62669903
132,BombRun,20260408_060330.WAV,0.0,5.0,A_Bomba1,0.60330194
133,BombRun,20260408_121350.WAV,0.0,5.0,A_Bomba1,0.6472258
134,BombRun,20260407_013340.WAV,0.0,5.0,A_Bomba1,0.37623584
135,BombRun,20260408_123235.WAV,0.0,5.0,A_Bomba1,0.7410371
